City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Finnsnes,NO,51.76,overcast clouds,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
2,Hualmay,PE,61.45,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
5,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
8,Hofn,IS,50.54,overcast clouds,64.2539,-15.2082,Hótel Höfn
9,Ahipara,NZ,63.05,light rain,-35.1667,173.1667,Ahipara Holiday Park
10,Ketchikan,US,57.67,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
11,Lifford,IE,63.7,overcast clouds,54.8319,-7.4836,Douglas Lodge
14,East London,ZA,67.86,clear sky,-33.0153,27.9116,Tu Casa
15,Fougamou,GA,70.23,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
18,Muros,ES,66.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
19,Okhotsk,RU,62.78,overcast clouds,59.3833,143.3,
21,Yulara,AU,69.58,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
22,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
23,Touros,BR,74.93,light rain,-5.1989,-35.4608,INN NEW HORIZON
24,Kushmurun,KZ,72.73,clear sky,52.4503,64.6311,Gostinitsa Pri Depo
26,Rheinau,DE,68.99,clear sky,48.8667,8.2,Best Western Hotel Rastatt
27,Vila Velha,BR,68.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
30,Kamenka,RU,56.28,few clouds,51.3223,42.7678,
31,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
36,Albany,US,74.17,overcast clouds,42.6001,-73.9662,
39,Busselton,AU,56.59,clear sky,-33.65,115.3333,Observatory Guest House
40,Rikitea,PF,74.41,clear sky,-23.1203,-134.9692,People ThankYou
41,Saldanha,ZA,50.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
44,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Severo-Kurilsk,RU,57.38,broken clouds,50.6789,156.125,Kak Doma
51,Usuki,JP,74.77,moderate rain,33.1081,131.7878,Usukiya
55,Laukaa,RU,50.47,broken clouds,58.7372,29.8453,U Lysoy Gory Hotel
60,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Airai,TL,69.76,broken clouds,-8.9266,125.4092,
64,Castro,BR,57.11,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
65,Damavand,IR,74.71,clear sky,35.7178,52.065,آپارتمان زمانیان
66,Arraial Do Cabo,BR,69.91,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Bredasdorp,ZA,53.73,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
72,Novaya Zaimka,RU,66.04,clear sky,56.4857,66.9241,
73,Thompson,CA,73.56,scattered clouds,55.7435,-97.8558,Burntwood Hotel
75,Grand Gaube,MU,68.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Nikolskoye,RU,55.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
81,Lata,PT,59.94,broken clouds,40.1629,-8.3327,Casa Maquia
82,Kangaba,ML,72.88,light rain,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
83,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Sao Sebastiao,BR,68.36,light rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
85,Brae,GB,56.14,overcast clouds,60.3964,-1.353,Busta House Hotel
90,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
91,Channel-Port Aux Basques,CA,63.3,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
92,Belmonte,BR,72.18,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
95,Ossora,RU,64.13,overcast clouds,59.2353,163.0719,
96,Cidreira,BR,54.27,clear sky,-30.1811,-50.2056,Hotel Castelo
97,Namibe,AO,64.27,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
101,Pacific Grove,US,67.68,clear sky,36.6177,-121.9166,Lovers Point Inn
103,Lasa,IT,63.36,few clouds,46.6166,10.7002,Pension Feldgärtenhof
104,Ichinohe,JP,72.57,overcast clouds,40.2069,141.3017,鳥越旅館
106,Tigil,RU,73.83,few clouds,57.8,158.6667,Tigil'
107,Aklavik,CA,57.72,moderate rain,68.2191,-135.0107,Aklavik Inn
108,Sao Felix Do Xingu,BR,71.51,few clouds,-6.6447,-51.995,Rio Xingu Camping
109,Novikovo,RU,54.3,clear sky,51.1537,37.8879,
110,Sobolevo,RU,50.97,overcast clouds,54.4299,31.8996,
111,Aksarka,RU,66.63,broken clouds,66.5606,67.7975,
112,Marsabit,KE,58.35,overcast clouds,2.3284,37.9899,Chicho Hotel
114,Nelson Bay,AU,57.99,light rain,-32.7167,152.15,Mantra Nelson Bay
118,Verkhnyaya Inta,RU,70.81,clear sky,65.9811,60.3094,
119,Conchal,BR,68.16,overcast clouds,-22.3303,-47.1725,Cabanha Tondela
120,Kurilsk,RU,61.39,scattered clouds,45.2333,147.8833,Hotel Ostrov
123,Cape Town,ZA,55.9,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
124,Esperance,AU,59.02,clear sky,-33.8667,121.9,Hospitality Esperance
125,Chute-Aux-Outardes,CA,58.98,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
127,Carnarvon,AU,69.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
129,Zavetnoye,RU,68.83,broken clouds,47.1194,43.8903,
132,Torbay,CA,64.38,overcast clouds,47.6666,-52.7314,Gallows Cove
133,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
136,Cherskiy,RU,53.33,broken clouds,68.75,161.3,Gostinitsa
138,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
140,Jamestown,US,71.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
143,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
144,Fortuna,US,64.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
145,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
146,Amasia,TR,64.13,overcast clouds,40.6533,35.8331,Lalehan Hotel
147,Antofagasta,CL,54.68,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
148,Port Alfred,ZA,62.46,few clouds,-33.5906,26.891,The Halyards Hotel
149,North Battleford,CA,68.09,overcast clouds,52.7834,-108.2847,Tropical Inn
150,Havre-Saint-Pierre,CA,55.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
151,Kodiak,US,60.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
153,Axim,GH,74.77,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
154,Sydney,AU,58.33,light rain,-33.8679,151.2073,The Grace Sydney
155,Mezen,RU,60.6,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
158,Volax,GR,53.56,clear sky,41.3167,24.0,Monopati E6
159,Mehamn,NO,60.75,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
162,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
165,Ubinskoye,RU,63.63,broken clouds,55.3068,79.6802,Gostinitsa Siberia
166,Xiaoyi,CN,67.69,overcast clouds,34.6178,109.703,
168,Berlevag,NO,60.8,broken clouds,70.8578,29.0864,Kvitbrakka
169,Ribeira Grande,PT,71.94,few clouds,38.5167,-28.7,Quinta da Meia Eira
170,Urengoy,RU,64.54,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
174,Port Elizabeth,ZA,58.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
175,Luderitz,,55.63,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
177,Moron,AR,51.55,broken clouds,-34.6534,-58.6198,Hotel Morón
178,Mangaratiba,BR,67.06,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
182,Matagami,CA,69.91,heavy intensity rain,49.7502,-77.6328,Motel Le Caribou
183,Tuktoyaktuk,CA,66.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
186,Lagoa,PT,68.85,overcast clouds,39.05,-27.9833,Casa Das Faias
188,Jumla,NP,69.85,broken clouds,29.2747,82.1838,Royal Garden Hotel
190,Mkushi,ZM,52.74,clear sky,-13.6202,29.3939,Mkushi Police Club
191,Waipawa,NZ,58.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
193,Tazovskiy,RU,59.23,few clouds,67.4667,78.7,TazHostel
194,Arica,CL,59.23,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
196,Portsmouth,GB,74.91,clear sky,50.799,-1.0913,Royal Beach Hotel
197,Dudinka,RU,63.63,broken clouds,69.4058,86.1778,Hotel Viktoria
199,Tonantins,BR,73.54,broken clouds,-2.8731,-67.8022,Hotel Hortensias
202,Vestmannaeyjar,IS,50.45,overcast clouds,63.4427,-20.2734,Glamping & Camping
204,Kaeo,NZ,62.33,overcast clouds,-35.1,173.7833,Bushido Lodge
205,Udachnyy,RU,53.46,broken clouds,66.4167,112.4,Severnoye Siyaniye
206,Kirillov,RU,54.34,light rain,59.863,38.3813,Rus Hotel
207,Riobamba,EC,51.3,overcast clouds,-1.6667,-78.6333,Mansion Santa Isabella
208,Teya,RU,55.98,overcast clouds,60.3778,92.6267,
210,Northam,GB,69.98,scattered clouds,51.0333,-4.2167,Durrant House Hotel
211,Asau,RO,59.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
212,Grindavik,IS,51.75,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
215,Ostrovnoy,RU,57.6,broken clouds,68.0531,39.5131,
216,Saint-Francois,FR,60.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
217,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
223,Codrington,AU,51.94,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
224,Bowen,AU,71.89,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
226,Den Helder,NL,69.98,broken clouds,52.9599,4.7593,Hotel Den Helder
227,Plettenberg Bay,ZA,60.19,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
228,Sioux Lookout,CA,69.87,smoke,50.1001,-91.917,Knobby's Fly-In Camps
229,Beringovskiy,RU,56.1,scattered clouds,63.05,179.3167,
230,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
232,Mogadishu,SO,74.93,light rain,2.0371,45.3438,Hotel Juba
233,Omboue,GA,71.31,overcast clouds,-1.5746,9.2618,Hotel Olako
235,Vagay,RU,68.74,clear sky,57.9375,69.0217,
239,Longyearbyen,SJ,53.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
241,Boende,CD,69.76,overcast clouds,-0.2167,20.8667,
243,Kruisfontein,ZA,53.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
245,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
246,Rodrigues Alves,BR,71.56,overcast clouds,-7.738,-72.6509,Pousada Aconchego
247,Julio De Castilhos,BR,50.52,light rain,-29.2269,-53.6817,Bladmir Rigol da Costa ME
249,Pangody,RU,66.2,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
251,Abalak,RU,68.5,clear sky,58.1286,68.5944,Туристический комплекс Абалак
252,Abasolo,MX,57.54,overcast clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
254,Sao Jose Da Coroa Grande,BR,74.21,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
256,Roma,US,71.96,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
257,Wakkanai,JP,73.38,few clouds,45.4094,141.6739,Hyōsetsu-sō
259,Lima,PE,59.9,mist,-12.0432,-77.0282,Hotel Kamana
260,Chiredzi,ZW,63.84,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
261,Solton,RU,56.93,overcast clouds,52.8429,86.4787,
262,Maxixe,MZ,66.81,clear sky,-23.8597,35.3472,Oceano
263,Yetkul,RU,68.05,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
267,Husavik,IS,50.9,overcast clouds,66.0449,-17.3389,Bjarnabúð
268,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
271,Sidi Ali,DZ,73.49,clear sky,36.0998,0.4206,Complexe touristique haje bezine
272,Solnechnyy,RU,56.41,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
273,Sayyan,YE,63.93,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
277,Port Macquarie,AU,60.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
278,Hobyo,SO,74.64,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
279,Bathurst,AU,54.82,clear sky,-33.4166,149.5806,Bathurst Motor Inn
280,Yavatmal,IN,71.65,overcast clouds,20.4,78.1333,Palash Inn
281,Svetlyy,RU,59.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
282,Tabou,CI,74.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
285,Chapada Dos Guimaraes,BR,62.26,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
287,Port-Gentil,GA,74.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
288,Sosnovka,RU,64.44,moderate rain,56.255,51.2842,
296,Bulgan,MN,69.58,overcast clouds,48.8125,103.5347,Unitel Булган салбар
297,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
299,Jijiga,ET,59.34,overcast clouds,9.35,42.8,RAMAAS HOTEL
301,Simao,CN,70.74,light rain,22.7886,100.9748,Changyu Hotel
303,Pontes E Lacerda,BR,68.65,clear sky,-15.2261,-59.3353,Hotel Bressan
304,Guiratinga,BR,66.87,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
308,Petropavlivka,UA,55.9,clear sky,48.4564,36.4367,Банька в Петропавловке
312,Baykit,RU,58.14,light rain,61.67,96.37,
317,Mollendo,PE,60.13,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
318,Wawa,NG,71.08,overcast clouds,9.9022,4.4192,
319,Kumla,SE,62.01,overcast clouds,59.1277,15.1434,Kumla Hotel
322,Muisne,EC,73.62,overcast clouds,0.6,-80.0333,Quinta Samay
324,Oga,IT,57.81,clear sky,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
330,Chany,RU,66.47,scattered clouds,55.3121,76.7647,Sakura
